"","Feature","Freq_sPLSDA","Class_sPLSDA","Freqs","Class_elastic","Freq_elastic","RelFreq_elastic","PLSDA_Comp","PLSDA_Class","PLSDA_Sign_NP","PLSDA_Sign_FD","PLSDA_Sign_SO","PLSDA_importance_mean","PLSDA_importance_sum","PLSDA_importance_max","PLSDA_sign_dom","Multinom_Class","Multinom_Coef","Multinom_Sign","crit_splsda","crit_elastic","crit_plsda","crit_multinom","Score","Candidate"
"1","BAX",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"2","DPP3",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"3","ENSA",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"4","IFNg",96,"FD",0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"5","IL_1b",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"6","IL_2",86,"FD",0.86,"FD;NP",98,0.98,"1;2","FD;FD","-1;-1","1;1","1;1",0.214587123465954,0.429174246931907,0.351490736669045,-1,"FD;NP;SO","6.09;0;0.764","1;0;1",1,1,1,0,3,"Yes"
"7","IL_8",100,"FD",1,"FD;SO",95,0.95,"1;2","FD;FD","1;1","1;1","-1;-1",0.172013745719509,0.344027491439018,0.194190633651725,-1,"FD;NP;SO","-0.284;0;-3.241","-1;0;-1",1,1,1,0,3,"Yes"
"8","neg_127",100,"FD",1,"SO",91,0.91,"1;2","FD;FD","1;1","1;1","-1;-1",0.131177210952516,0.262354421905032,0.16528567280848,-1,"FD;NP;SO","-2.765;0;-3.33","-1;0;-1",1,1,0,0,2,"No"
"9","neg_70",100,"FD",1,"SO",96,0.96,"1;2","FD;FD","1;1","1;1","-1;-1",0.125045186944835,0.250090373889669,0.162930101315386,-1,"FD;NP;SO","-2.166;0;-3.282","-1;0;-1",1,1,0,0,2,"No"
"10","PDLIM2",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"11","pos_174",100,"FD",1,"SO",85,0.85,"1;2","FD;FD","1;1","1;1","-1;-1",0.123645873328433,0.247291746656866,0.165989305474179,-1,"FD;NP;SO","-1.435;0;-3.277","-1;0;-1",1,1,0,0,2,"No"
"12","pos_681",62,"FD",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"13","SLC39A7",62,"FD",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"14","SLTM",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"15","SNORA71B",11,"FD",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"16","SNORD100",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"17","SNORD22",45,"FD",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"18","VEGF_A",96,"FD",0.96,"FD;SO",96,0.96,"1;2","FD;FD","1;1","1;1","-1;-1",0.150099590261646,0.300199180523291,0.165724582318685,-1,"FD;NP;SO","0.188;0;-2.962","1;0;-1",1,1,1,0,3,"Yes"
"19","ZNF326",31,"FD",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"20","ATP5MPL",100,"NP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"21","C4orf3",100,"NP",1,"NP",75,0.75,"1;2","NP;NP","1;1","1;1","-1;-1",0.127818371081377,0.255636742162754,0.153614571878192,-1,"FD;NP;SO","-3.968;0;-2.669","-1;0;-1",1,1,0,0,2,"No"
"22","DGKZ",45,"NP",0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"23","EIF1AD",96,"NP",0.96,"NP",78,0.78,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.157522680745489,0.315045361490977,0.17399180779336,1,"FD;NP;SO","-4.759;0;-2.298","-1;0;-1",1,1,1,0,3,"Yes"
"24","FABP3",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"25","FAM98A",100,"NP",1,"NP",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.182417873722675,0.364835747445351,0.209079466093407,1,"FD;NP;SO","-5.22;0;-2.509","-1;0;-1",1,1,1,0,3,"Yes"
"26","Fractalkine",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"27","IL_18",86,"NP",0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"28","neg_1075",100,"NP",1,"SO",85,0.85,"1;2","NP;NP","1;1","1;1","-1;-1",0.124605428357079,0.249210856714157,0.165847290030136,-1,"FD;NP;SO","-2.221;0;-3.297","-1;0;-1",1,1,0,0,2,"No"
"29","neg_128",100,"NP",1,"NP;SO",93,0.93,"1;2","NP;NP","1;1","1;1","-1;-1",0.0882713740216434,0.176542748043287,0.167933314965732,-1,"FD;NP;SO","-2.431;0;-3.212","-1;0;-1",1,1,0,0,2,"No"
"30","neg_27",100,"NP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"31","neg_271",100,"NP",1,"FD;SO",100,1,"1;2","NP;NP","1;1","1;1","-1;-1",0.153214585081422,0.306429170162844,0.173089053366655,-1,"FD;NP;SO","-0.215;0;-3.53","-1;0;-1",1,1,1,0,3,"Yes"
"32","neg_334",100,"NP",1,"SO",98,0.98,"1;2","NP;NP","1;1","1;1","-1;-1",0.133839806112305,0.267679612224611,0.171679020918257,-1,"FD;NP;SO","-1.971;0;-3.449","-1;0;-1",1,1,0,0,2,"No"
"33","neg_38",100,"NP",1,"NP",99,0.99,"1;2","NP;NP","1;1","1;1","-1;-1",0.158479465270703,0.316958930541406,0.168714818204317,-1,"FD;NP;SO","-6.13;0;-2.875","-1;0;-1",1,1,1,0,3,"Yes"
"34","neg_43",100,"NP",1,"NP",71,0.71,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.118470120861463,0.236940241722925,0.144804937167342,-1,"FD;NP;SO","-4.076;0;-2.546","-1;0;-1",1,1,0,0,2,"No"
"35","neg_6",100,"NP",1,"NP",86,0.86,"1;2","NP;NP","1;1","1;1","-1;-1",0.113161250053264,0.226322500106528,0.165944702334525,-1,"FD;NP;SO","-4.49;0;-3.001","-1;0;-1",1,1,0,0,2,"No"
"36","Osteonectin",86,"NP",0.86,"FD;NP",97,0.97,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.178959506613714,0.357919013227428,0.260557579387945,1,"FD;NP;SO","-5.615;0;-1.322","-1;0;-1",1,1,1,0,3,"Yes"
"37","pos_220",100,"NP",1,"NP;SO",97,0.97,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.168329214409047,0.336658428818094,0.172093542357705,1,"FD;NP;SO","-3.824;0;-2.776","-1;0;-1",1,1,1,0,3,"Yes"
"38","pos_384",100,"NP",1,"NP",98,0.98,"1;2","NP;NP","1;1","1;1","-1;-1",0.134349826004311,0.268699652008621,0.163767126024641,-1,"FD;NP;SO","-3.438;0;-2.833","-1;0;-1",1,1,0,0,2,"No"
"39","pos_564",100,"NP",1,"NP",72,0.72,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.0912689920957416,0.182537984191483,0.149578390224206,-1,"FD;NP;SO","-3.186;0;-2.716","-1;0;-1",1,1,0,0,2,"No"
"40","SKP1",100,"NP",1,"NP",72,0.72,"1;2","NP;NP","1;1","1;1","-1;-1",0.127716908564786,0.255433817129571,0.15118461160569,-1,"FD;NP;SO","-3.818;0;-2.617","-1;0;-1",1,1,0,0,2,"No"
"41","SLC16A3",31,"NP",0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"42","ZC3HC1",11,"NP",0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"43","ZNF239",100,"NP",1,"NP",100,1,"1;2","NP;NP","1;1","-1;-1","-1;-1",0.180696466372329,0.361392932744658,0.193747791756717,1,"FD;NP;SO","-5.405;0;-2.739","-1;0;-1",1,1,1,0,3,"Yes"
"44","ZNF830",62,"NP",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"45","CUN_BAE",100,"SO",1,"SO",80,0.8,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.105400860913425,0.210801721826849,0.163149592953864,1,"FD;NP;SO","1.978;0;3.176","1;0;1",1,1,0,0,2,"No"
"46","Dias",96,"SO",0.96,"FD;SO",83,0.83,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.135017625551689,0.270035251103377,0.142315684403197,1,"FD;NP;SO","-1.9;0;2.971","-1;0;1",1,1,0,0,2,"No"
"47","Eotaxin",62,"SO",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"48","FLI",100,"SO",1,"NP;SO",94,0.94,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.112653438563209,0.225306877126419,0.184235978793957,1,"FD;NP;SO","3.687;0;3.404","1;0;1",1,1,0,0,2,"No"
"49","IMC",100,"SO",1,"SO",100,1,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.132725809302493,0.265451618604985,0.19252870353311,1,"FD;NP;SO","1.859;0;3.795","1;0;1",1,1,0,0,2,"No"
"50","INSL3",100,"SO",1,"NP;SO",100,1,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.106120536330686,0.212241072661373,0.200491244991487,1,"FD;NP;SO","3.096;0;3.847","1;0;1",1,1,0,0,2,"No"
"51","kg_Androide",100,"SO",1,"SO",93,0.93,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.100469683680688,0.200939367361375,0.181195342344922,1,"FD;NP;SO","3.414;0;3.483","1;0;1",1,1,0,0,2,"No"
"52","kg_Ginoide",100,"SO",1,"SO",88,0.88,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.13878664461319,0.27757328922638,0.153400099673784,1,"FD;NP;SO","1.063;0;3.17","1;0;1",1,1,0,0,2,"No"
"53","LINC01089",62,"SO",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"No"
"54","Masa_grasa_0M",100,"SO",1,"SO",97,0.97,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.137271724268406,0.274543448536812,0.178592381772805,1,"FD;NP;SO","1.863;0;3.584","1;0;1",1,1,0,0,2,"No"
"55","neg_290",100,"SO",1,"SO",77,0.77,"1;2","SO;SO","-1;-1","1;1","1;1",0.0874630666641426,0.174926133328285,0.161276977128042,1,"FD;NP;SO","0.064;0;3.076","1;0;1",1,1,0,0,2,"No"
"56","neg_471",100,"SO",1,"NP",79,0.79,"1;2","SO;SO","-1;-1","1;1","1;1",0.128830193238797,0.257660386477595,0.16408263223861,1,"FD;NP;SO","3.899;0;2.895","1;0;1",1,1,0,0,2,"No"
"57","neg_754",86,"SO",0.86,"FD;NP;SO",100,1,"1;2","SO;SO","1;1","-1;-1","1;1",0.25113806843856,0.50227613687712,0.431699599516908,1,"FD;NP;SO","-6.264;0;2.249","-1;0;1",1,1,1,0,3,"Yes"
"58","PCR",100,"SO",1,"NP",92,0.92,"1;2","SO;SO","-1;-1","1;1","1;1",0.136132135232322,0.272264270464644,0.163998002734884,1,"FD;NP;SO","4.737;0;2.86","1;0;1",1,1,0,0,2,"No"
"59","Peso",100,"SO",1,"FD;SO",100,1,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.144378287817085,0.28875657563417,0.174134586254354,1,"FD;NP;SO","0.966;0;3.538","1;0;1",1,1,0,0,2,"No"
"60","pos_935",86,"SO",0.86,"FD;NP;SO",100,1,"1;2","SO;SO","1;1","-1;-1","1;1",0.251449108956621,0.502898217913242,0.444334996274573,1,"FD;NP;SO","-5.744;0;2.054","-1;0;1",1,1,1,0,3,"Yes"
"61","pos_980",100,"SO",1,"SO",89,0.89,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.113585455656197,0.227170911312394,0.164440540321711,1,"FD;NP;SO","1.46;0;3.21","1;0;1",1,1,0,0,2,"No"
"62","Ratio_and_gin",96,"SO",0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"No"
"63","Ratio_cintura_0M",100,"SO",1,"SO",87,0.87,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.0986771477234359,0.197354295446872,0.172546722678029,1,"FD;NP;SO","2.572;0;3.32","1;0;1",1,1,0,0,2,"No"
"64","X_Androide",100,"SO",1,"NP;SO",73,0.73,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.090945199533921,0.181890399067842,0.16976436354146,1,"FD;NP;SO","3.94;0;3.202","1;0;1",1,1,0,0,2,"No"
"65","X_Androide_grasa_Total",100,"SO",1,"NP;SO",71,0.71,"1;2","SO;SO","-1;-1","-1;-1","1;1",0.110816209737452,0.221632419474903,0.157796463886424,1,"FD;NP;SO","4.565;0;2.873","1;0;1",1,1,0,0,2,"No"
